名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
エッグポーン,★5,たいりょく,,,,,,,シート,1.0,,,,,,
エッグポーン (紫),★5,たいりょく,紫,,1042,3203,254,込み,シート,1.0,,,,,,
エッグポーン (緑),★5,たいりょく,緑,,1034,3227,254,込み,シート,1.0,,,,,,
エッグポーン (黄),★5,たいりょく,黄,,1034,3215,257,込み,シート,1.0,,,,,,
エトピラ,★6,たいりょく,青,,2284,6962,540,込み,シート,2.0,,,相手単体にたいりょくタイプが「最大体力」×20の属性攻撃,青属性カードとたいりょくタイプの攻撃力を2倍、体力を3倍にする,,
エドガー,★6,かいふく,赤,緑,1465,4121,1520,なし,シート,3.0,,,ランダム対象に赤属性カードの「かいふく」の 合計×7で6連続属性攻撃,スタメンの赤属性カードが2枚以上から1枚増えるごとに 赤属性の攻撃力・回復力倍率に0.4倍プラス,,
エドガー,★7,かいふく,赤,緑,3501,9494,3012,込み,シート,3.75,,,ランダム対象に赤属性カードの「かいふく」の 合計×10で6連続属性攻撃,スタメンの赤属性カードが2枚以上から1枚増えるごとに 赤属性の攻撃力倍率と回復力倍率に0.55倍プラス（最大3.75倍）,,
エドガー ver.白鳥沢学園高校,★6,バランス,紫,,1860,3780,780,なし,シート,2.5,攻撃エンハ×3.5,,2ターンの間、「はばたき」の攻撃力を3.5倍にする,「はばたき」の全能力を2.5倍にする,,
エドガー ver.白鳥沢学園高校,★7,バランス,紫,,4147,8570,1633,込み,シート,3.0,攻撃エンハ×4.0,,2ターンの間、「はばたき」の攻撃力を4倍にする,「はばたき」の全能力を3倍にする,,
エドッス,★6,たいりょく,緑,,1287,5021,455,なし,シート,2.0,,,フィールド上のあかぷよを3個ハートBOXに、みどりぷよを2個プリズムボールに変化させる,味方全体の体力タイプの攻撃力が2倍、 緑属性の回復力が1.8倍になる,,
エドッス,★7,たいりょく,緑,,2937,11336,1094,込み,シート,3.0,,,フィールド上のあかぷよを4個ハートBOXに、みどりぷよを3個プリズムボールに変える,緑属性カードとたいりょくタイプの攻撃力と回復力を3倍にする,,
エニシ,★6,たいりょく,青,黄,1688,4758,198,なし,シート,1.0,,,あおぷよを3個チャンスぷよに変換し、3ターン の間、ネクストぷよをすべてあおぷよに変える,青属性カードの体力と回復力を2倍にする,,
エニシ,★7,たいりょく,青,黄,3729,10989,847,込み,シート,1.0,攻撃エンハ(特盛無条件)×1.5,,フィールド上のあおぷよを4個 チャンスぷよに変え、3ターンの間、 ネクストぷよをすべてあおぷよに変える,青属性カードの体力と回復力を3.5倍にし、 クエスト出発時1回のみ フィールド上の色ぷよをランダムで3個 チャンスぷよに変える,味方全体の攻撃力を1.5倍にする,
エベリン,★4,こうげき,黄,,489,1177,98,込み,シート,1.5,,,相手単体に「5000」の属性ダメージ を与える,味方全体の黄属性の攻撃力が1.5倍になる,,
エミリア,★6,バランス,黄,青,1839,3226,629,なし,シート,1.0,,,3ターンの間、黄属性カードのみどの色の 連鎖でも攻撃するようになる（通常攻撃のみ）,黄属性カードの体力を2倍にし、通常攻撃時のみ、黄属性カードが連鎖したときの 連鎖数に応じた攻撃力増幅効果を4倍にする,,
エミリア,★7,バランス,黄,青,4117,7739,1429,込み,シート,1.2,,,3ターンの間、黄属性カードの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を1.1倍にする,黄属性カードの攻撃力を1.2倍、体力を3.5倍にし、通常攻撃時のみ連鎖係数を4倍にする,なぞり消し数を2個増やす,
エミリア＆パック,★6,バランス,黄,青,2260,4220,820,なし,シート,3.5,被ダメアップ×4.0,,相手全体を1ターンの間、「凍結」状態にし、2ターンの間、相手全体が受けるダメージを4倍にする,味方全体の攻撃力を3.5倍、体力を3.2倍にし、8個以上の同時消しでネクストぷよをランダムで1個チャンスぷよに変える,,
エミリア＆パック,★7,バランス,黄,青,4977,9730,1787,込み,シート,4.5,被ダメアップ×4.5,,相手全体を2ターンの間、「凍結」状態にし、2ターンの間、相手全体が受けるダメージを4.5倍にする,味方全体の攻撃力を4.5倍、体力を3.5倍、回復力を1.5倍にし、8個以上の同時消しでネクストぷよをランダムで2個チャンスぷよに変える,味方全体の体力を1.5倍にする,
エミリオン,★6,こうげき,黄,赤,2016,3809,261,なし,シート,2.2,,,3ターンの間、色ぷよを 1個チャンスぷよに変える,黄属性カードの攻撃力を2.2倍、体力を2倍にし、 さらに一度に消せるぷよ数を2個増やす,,
エミリオン,★7,こうげき,黄,赤,4675,8518,900,込み,シート,3.5,クリティカル倍率up×1.3,,3ターンの間、フィールド上の色ぷよをランダムで1個チャンスぷよに変える さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を5倍にする,味方全体の攻撃力と体力を3.5倍にし、さらになぞり消し数を3個増やす,味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×3％アップする(このとくもりスキルは重複可能),
エミー,★6,バランス,緑,,1578,3725,806,なし,シート,1.6,,,フィールド上のみどりぷよ2個を チャンスぷよに、あおぷよ3個を ハートBOXに変える,緑属性カードの攻撃力を1.6倍にし、 毎ターン、緑属性カードに「かいふく」×3の回復,,
エミー,★7,バランス,緑,,3888,8825,1728,込み,シート,3.0,,,フィールド上の色ぷよ、おじゃまぷよ、かたぷよをランダムで4個ハートBOXに、色ぷよをランダムで2個チャンスぷよに変える さらに2ターンの間、なぞり消し数を5個増やす,緑属性カードの攻撃力と体力を3倍にし、毎ターン、緑属性カードにこのカードの「かいふく」×3の回復,,
エミール,★6,たいりょく,緑,,1325,5080,323,なし,シート,2.3,,,フィールド上のぷよをすべてリセットし、その後2ターンの間、ネクストぷよをすべてみどりぷよに変える,味方全体の緑属性の攻撃力が2.3倍、回復力が2倍になる,,
エミール,★7,たいりょく,緑,,2988,11436,916,込み,シート,3.5,,,フィールドをリセットし、2ターンの間、ネクストぷよをすべてみどりぷよに変える,緑属性カードの攻撃力を3.5倍、回復力を2.5倍にする,,
エムプーサ,★6,たいりょく,緑,,1453,5006,259,なし,シート,1.0,,,3ターンの間、緑属性カードが 「こうげき」×4でカウンター,たいりょくタイプの体力を1.8倍にする,,
エムプーサ,★7,たいりょく,緑,,3161,11310,829,込み,シート,3.0,,,2ターンの間、ネクストぷよをみどりぷよに変え、通常攻撃時のみ緑属性カードのみどりぷよを消したときに発生する数値を4.2倍にする さらに3ターンの間、緑属性カードが「こうげき」×50でカウンター,たいりょくタイプの攻撃力と体力を3倍にする,クエスト出発時1回のみこのカードの初回スキル発動ぷよ数を10減らす,
エライオン,★6,バランス,黄,,1703,3406,771,なし,シート,1.8,,,相手単体に、バランスタイプの攻撃力の 合計×6倍で単体属性攻撃,バランスタイプの体力と攻撃力が1.8倍になる,,
エライオン,★7,バランス,黄,,4070,8309,1681,込み,シート,3.0,攻撃エンハ×3.8,,相手全体にバランスタイプの「こうげき」の合計×15の属性攻撃を与える その後3ターンの間、バランスタイプの攻撃力と回復力を3.8倍にする,バランスタイプの攻撃力と体力を3倍にする,味方全体の体力を1.5倍にする,
エリアスキー,★6,かいふく,青,,1495,4025,1666,なし,シート,3.0,n属性以上の同時攻撃×3.0,,2ターンの間、2属性以上の同時攻撃で青属性カードの攻撃力を3倍にする さらに2ターンの間、フィールド上の色ぷよをランダムで1個「プラス状態」にする,青属性カードの攻撃力を3倍、体力を2.5倍にし、なぞり消し数を1個増やす さらに相手ターン終了時にフィールド上の色ぷよをあおぷよ優先で2個「プラス状態」にする,,
エリアスキー,★7,かいふく,青,,3543,9340,3246,込み,シート,3.5,n属性以上の同時攻撃×3.5,,3ターンの間、2属性以上の同時攻撃で青属性カードの攻撃力を3.5倍にする さらに3ターンの間、フィールド上の色ぷよをランダムで2個「プラス状態」にする,青属性カードの攻撃力を3.5倍、体力を3.2倍にし、なぞり消し数を2個増やす さらに相手ターン終了時にフィールド上の色ぷよをあおぷよ優先で3個「プラス状態」にする,,
エリカ・フォンティーヌ,★6,かいふく,黄,,1403,3894,1588,なし,シート,2.5,,,相手全体に「こうげき」×10の属性攻撃を与え さらに2ターンの間、相手の攻撃力80%減少,黄属性カードの攻撃力を2.5倍、体力を1.8倍にし、 2連鎖以上で黄属性カードに「かいふく」×1の回復,,
エリカ・フォンティーヌ,★7,かいふく,黄,,3164,8630,3101,込み,シート,3.2,,,相手全体に「こうげき」×10の属性攻撃を与え さらに2ターンの間、相手の攻撃力90%減少,黄属性カードの攻撃力を3.2倍、体力を2.5倍にし、 2連鎖以上で黄属性カードに「かいふく」×1.5の回復,,
エリク,★6,たいりょく,赤,,1378,5880,266,なし,シート,1.0,,,相手単体に、このカードの最大体力×12の タフネス貫通属性攻撃,味方全体の緑属性からの被ダメージが0.5倍になる,,
エリク,★7,たいりょく,赤,,3060,12796,839,込み,シート,1.0,,,相手単体に、このカードの「最大体力」×70の タフネス貫通属性攻撃,味方全体が受ける緑属性ダメージを70%カットする,,
エリサ,★6,かいふく,黄,,1491,4260,1647,なし,シート,2.5,,,フィールド内の好きな場所のぷよを12個まできいろぷよにぬりかえる,味方黄属性カードの 攻撃力と体力を2.5倍にし、 ステージ開始時に全属性カードのターン数を 一定の確率で+2する,,
エリサ,★7,かいふく,黄,,3537,9716,3215,込み,シート,3.0,攻撃エンハ×4.2; 攻撃エンハ(特盛体力MAX)×1.5,,2ターンの間、味方全体の攻撃力を4.2倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを12個まできいろぷよにぬりかえる,黄属性カードとかいふくタイプの全能力を3倍にし、ステージ開始時に全属性カードのターン数を一定の確率で+3する,体力MAXの味方全体の攻撃力を1.5倍にする,
エリザベス,★6,かいふく,黄,,1190,3610,1320,なし,シート,2.0,,,フィールド上のきいろぷよを5個プリズムボールに変える,味方全体の攻撃力と回復力を2倍にする,,
エリザベス,★7,かいふく,黄,,2866,8176,2672,込み,シート,3.2,,,フィールド上のきいろぷよをすべてプリズムボールに変える,味方全体の攻撃力と回復力を3.2倍にする,,
エリザリス,★5,バランス,,,,,,,シート,1.0,,,,,,
エリザリス/紫,★5,バランス,紫,,70,74,20,込み,シート,1.0,,,,,,
エリザリス/緑,★5,バランス,緑,,46,146,20,込み,シート,1.0,,,,,,
エリザリス/赤,★5,バランス,赤,,70,110,10,込み,シート,1.0,,,,,,
エリザリス/青,★5,バランス,青,,58,74,30,込み,シート,1.0,,,,,,
エリザリス/黄,★5,バランス,黄,,46,110,30,込み,シート,1.0,,,,,,
エリドゥ,★6,こうげき,緑,,1683,3855,182,なし,シート,1.8,,,味方の緑属性カードが、そのカードの 「こうげき」×2で主属性攻撃をする,緑属性カードの攻撃力を1.8倍にし、味方ターン終了時に 自分の攻撃力×1.8の追加攻撃,,
エリドゥ,★7,こうげき,緑,,4093,8086,703,込み,シート,2.5,,,相手単体にスタメンの緑属性カードが「こうげき」×8で主属性攻撃,緑属性カードの攻撃力と体力を2.5倍にし、味方ターン終了時に、このカードが「こうげき」×3.5の追加単体攻撃,,
エリドゥ ver.HW,★6,こうげき,緑,,1738,3863,157,なし,シート,2.0,攻撃エンハ×2.0,,1ターンの間、こうげきタイプの攻撃力を2倍にする,味方全体の攻撃タイプの攻撃力を2倍にし、 味方ターン終了時に 自分の攻撃力×2の追加攻撃,,
エリドゥ ver.HW,★7,こうげき,緑,,4181,8098,672,込み,シート,2.5,攻撃エンハ×3.0,,1ターンの間、こうげきタイプの攻撃力を3倍にする,こうげきタイプの攻撃力と体力を2.5倍にし、味方ターン終了時に、このカードが「こうげき」×4の追加単体攻撃,,
エルドゥール,★6,こうげき,青,赤,2059,3565,204,なし,シート,2.0,,怒り×2,相手全体に青属性カードの攻撃力の 合計で青属性攻撃を与え 70%の確率で3ターン「怒り」状態にする,青属性カードの体力を2.3倍、攻撃力を2倍にする,,
エルドゥール,★7,こうげき,青,赤,4744,8158,830,込み,シート,3.0,,怒り×2,相手全体に青属性カードの攻撃力の 合計×2倍で青属性攻撃を与え 90%の確率で3ターン「怒り」状態にする,青属性カードの体力と攻撃力を3倍にする,,
エルナト,★6,バランス,青,紫,1636,3157,879,なし,シート,2.0,,,フィールドにあるあおぷよの数 ×2500の6連続属性攻撃,味方青属性カードの攻撃力が2倍、 バランスタイプの体力が2倍になる,,
エルナト,★7,バランス,青,紫,4073,8136,1867,込み,シート,3.5,,,相手全体にフィールド上のあおぷよの数×自属性カードとバランスタイプの「こうげき」の合計×2の属性攻撃を与え、フィールドをリセットする,青属性カードとバランスタイプの攻撃力と体力を3.5倍にする,,
エルナト ver.ダクネス,★6,たいりょく,黄,,2030,5080,210,なし,シート,2.5,n連鎖以上×3.5,,相手単体にこのカードの「こうげき」×20の属性攻撃を与え、2ターンの間、味方全体をかばう さらに2ターンの間、3連鎖以上で味方全体の攻撃力を3.5倍にする,味方全体の攻撃力を2.5倍、体力を3倍にし、通常攻撃時のみきいろぷよを消した場合、味方全体のスキル発動ぷよ数を2個減らす,,
エルナト ver.ダクネス,★7,たいりょく,黄,,4190,11536,863,込み,シート,3.0,n連鎖以上×4.0,,相手単体にこのカードの「こうげき」×30の属性攻撃を与え、2ターンの間、味方全体をかばう さらに2ターンの間、3連鎖以上で味方全体の攻撃力を4倍にする,味方全体の攻撃力を3倍、体力を3.5倍にし、通常攻撃時のみきいろぷよを消した場合、味方全体のスキル発動ぷよ数を3個減らす,,
エルマ,★6,たいりょく,黄,,1617,5082,178,なし,シート,1.0,,,3ターンの間、このカードのみどの色の連鎖 でも攻撃するようになる（通常攻撃のみ）,スタメンの黄属性カードが2枚以上から1枚増えるごとに 黄属性の体力倍率に0.3倍プラス,,
エルマ,★7,たいりょく,黄,,3383,11439,720,込み,シート,3.5,与ダメアップ×2.0,,5ターンの間、このカードの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を6.5倍にする,味方全体の攻撃力と体力を3.5倍にし、クエスト開始時1回のみネクストぷよをすべてきいろぷよに変える,①味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×10％アップする(このとくもりスキルは重複可能) ②このカードが有利属性カードに与えるダメージを2倍にする(キラースキル),
エント,★6,たいりょく,緑,,1414,5107,154,なし,シート,1.0,,,ターン経過せずに、なぞったぷよを 最大8個までみどりぷよに変える,体力MAXの緑属性カードが受けるダメージを半減させる,,
エント,★7,たいりょく,緑,,3109,11482,688,込み,シート,3.5,与ダメアップ×3.5,,2ターンの間、緑属性カードの相手に与えるダメージを3.5倍にし、フィールド上の好きな場所の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを12個までみどりぷよにぬりかえる,緑属性カードの攻撃力を3.5倍、体力を2倍にし、緑属性カード1体以上の体力がMAXの場合、受けるダメージを70%軽減する,味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5％アップする (このとくもりスキルは重複可能),
エヴァ8号機β臨時戦闘形態,★6,バランス,黄,,1900,3720,700,なし,シート,2.5,攻撃エンハ×2.5,,2ターンの間、黄属性カードとバランスタイプの攻撃力を2.5倍にし、黄属性カードとバランスタイプの通常攻撃を全体攻撃にする,黄属性カードとバランスタイプの攻撃力と体力を2.5倍にし、ステージ開始時に全属性カードのターン数を一定の確率で+2する,,
エヴァ8号機β臨時戦闘形態,★7,バランス,黄,,4205,8480,1525,込み,シート,3.0,攻撃エンハ×3.2,,2ターンの間、黄属性カードとバランスタイプの攻撃力を3.2倍にし、黄属性カードとバランスタイプの通常攻撃を全体攻撃にする,黄属性カードとバランスタイプの攻撃力と体力を3倍にし、ステージ開始時に全属性カードのターン数を一定の確率で+3する,,
エヴァリス,★5,バランス,,,,,,,シート,1.0,,,,,,
エヴァ初号機,★6,こうげき,紫,緑,3301,6110,712,込み,シート,3.0,,,ランダム対象に自分の「こうげき」×15の6連続属性爆裂攻撃,紫属性カードの攻撃力を3倍、体力を2.5倍にし、味方ターン終了時に、このカードが自分の 攻撃力×1.5倍の追加全体攻撃 ※バトルでの追撃は1体のみ,,
エヴァ新2号機α,★6,たいりょく,赤,,1830,5000,200,なし,シート,2.5,,,1ターンの間、赤属性カードとたいりょくタイプの通常攻撃をどの色の連鎖でも攻撃するようにする,赤属性カードとたいりょくタイプの攻撃力と体力を2.5倍にし、9連鎖以上でフィールド上の色ぷよをあかぷよ優先で9個「プラス状態」にする,,
エヴァ新2号機α,★7,たいりょく,赤,,3920,11400,850,込み,シート,3.0,,,1ターンの間、赤属性カードとたいりょくタイプの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を1.2倍にする,赤属性カードとたいりょくタイプの攻撃力と体力を3倍にし、9連鎖以上でフィールド上の色ぷよをあかぷよ優先で9個「プラス状態」にする,,
エヴァ零号機,★6,たいりょく,黄,青,3055,7132,679,込み,シート,2.5,,,3ターンの間、仲間全体をかばい、さらにこのカード以外の黄属性カードに「かいふく」×3の回復,黄属性カードの攻撃力を2.5倍、体力を3.5倍にし、毎ターン、黄属性カードに「かいふく」×1の回復,,
エースピッチャーアルル,★6,バランス,青,黄,2030,3950,720,なし,シート,3.0,,,フィールド上の色ぷよをランダムで1個 チャンスぷよに変え、3ターンの間、 一度に消せるぷよ数を5個増やす （同時消し係数を4倍に）,青属性カードの攻撃力を3倍、体力を2.5倍にし、 クエスト出発時1回のみ フィールド上の色ぷよをランダムで2個 チャンスぷよに変える,,
エースピッチャーアルル,★7,バランス,青,黄,4393,8825,1553,込み,シート,3.5,,,フィールド上の色ぷよをランダムで2個 チャンスぷよに変え、3ターンの間、 一度に消せるぷよ数を5個増やす （同時消し係数を5倍に）,青属性カードの攻撃力を3.5倍、体力を3.2倍にし、 クエスト出発時1回のみ フィールド上の色ぷよをランダムで3個 チャンスぷよに変える,,
エーダン,★6,バランス,赤,,2055,4150,609,なし,シート,2.4,攻撃エンハ×2.5,,2ターンの間、赤属性カードの攻撃力を 2.5倍にし、赤属性カードの通常攻撃を 全体攻撃にする,赤属性カードの体力と攻撃力を2.4倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる,,
エーダン,★7,バランス,赤,,4430,9125,1402,込み,シート,3.0,攻撃エンハ×3.2,,2ターンの間、赤属性カードの攻撃力を3.2倍にし、赤属性カードの通常攻撃を全体攻撃にする,赤属性カードの体力と攻撃力を3倍にし、 体力が0になっても1回のみ「体力1」で踏みとどまる,,
エーデリス,★6,かいふく,緑,,1809,5986,1726,込み,シート,1.0,,,味方全体にこのカードの「かいふく」 ×4の回復,味方全体の緑属性の体力が1.5倍、回復力が3倍になる,,
オキラクラゲ,★5,バランス,緑,,1942,4577,1024,込み,シート,1.0,,,相手の右から左へ突き抜ける 「こうげき」×8の属性攻撃,バランスタイプの体力を2000アップ,,
オサ,★6,バランス,赤,,1456,3451,831,なし,シート,2.0,,,3ターンの間、 ネクストぷよをすべて あかぷよに変える,赤属性カードの攻撃力を2倍にし、さらに体力が低いほど 赤属性カードの回復力アップ(最大3倍),,
オサ,★7,バランス,赤,,3711,8377,1762,込み,シート,4.0,,,3ターンの間、ネクストぷよをすべてあかぷよに変える,赤属性カードの攻撃力を4倍にし、さらに体力が低いほど赤属性カードの回復力が上がる(最大3倍),味方全体の体力を1.5倍にする,
オサキ,★6,バランス,赤,,1375,2834,732,なし,シート,2.5,,,フィールド上のあかぷよを消す このスキルによって消えた色ぷよはこのカード以外のスキル発動ぷよ数にカウントされる,バランスタイプの攻撃力と体力を2.5倍にする,,
オサキ,★7,バランス,赤,,3594,7451,1629,込み,シート,3.0,攻撃エンハ×4.8,,1ターンの間、バランスタイプの攻撃力をフィールド上のあかぷよの数×0.1倍にし(最大4.8倍)、あかぷよを消す このスキルによって消えた色ぷよはこのカード以外のスキル発動ぷよ数にカウントされる,バランスタイプの攻撃力と体力を3倍にする,,
オデット,★6,かいふく,緑,,888,4048,1432,なし,シート,1.0,,,フィールド上の赤ぷよを全てみどりぷよに、 ○ぷよを6個ハートBOXに変化させる,スタメンの緑属性カードが2枚以上から1枚増えるごとに 緑属性の回復力倍率に0.3倍プラス,,
オデット,★7,かいふく,緑,,2443,8877,2851,込み,シート,1.0,,,フィールド上の赤ぷよを全てみどりぷよに、 ○ぷよをすべてハートBOXに変化させる,スタメンの緑属性カードが2枚以上から1枚増えるごとに 緑属性の体力倍率に0.2プラス（最大2倍）回復力倍率に0.5倍プラス（最大3.5倍）,,
オデット ver.聖夜,★6,かいふく,緑,,960,4071,1523,なし,シート,1.0,,,フィールド上のあかぷよとあおぷよを4個ずつハートBOXに変える,味方全体の回復タイプの 体力と回復力が2倍になる,,
オデット ver.聖夜,★7,かいふく,緑,,2544,8914,2997,込み,シート,1.0,,,フィールド上のあかぷよ、あおぷよ、おじゃまぷよ、かたぷよをすべてハートBOXに変える,かいふくタイプの体力と回復力を3倍にする,,
オトモ,★6,かいふく,緑,,786,3882,1302,なし,シート,1.0,,,味方全体にこのカードの「かいふく」×4の回復,味方全体の緑属性の回復力が2倍になる,,
オトモ,★7,かいふく,緑,,2300,8611,2663,込み,シート,1.0,攻撃エンハ(特盛体力MAX)×1.5,,味方全体にこのカードの「かいふく」×7の回復,緑属性カードの体力を3倍、回復力を3.5倍にする,体力MAXの緑属性カードの攻撃力を1.5倍にする,
オトモ王子（魚）,★6,かいふく,緑,黄,1298,3881,1450,なし,シート,2.5,n属性以上の同時攻撃×2.0,,2ターンの間、3属性以上の同時攻撃で味方全体の攻撃力を2倍にする,緑属性カードの攻撃力を2.5倍、体力を2倍にし、緑属性カードにこのカードの「かいふく」×攻撃した属性数×0.2倍の回復,,
オトモ王子（魚）,★7,かいふく,緑,黄,3017,8610,2900,込み,シート,3.0,n属性以上の同時攻撃×2.8,,3ターンの間、3属性以上の同時攻撃で味方全体の攻撃力を2.8倍にする,緑属性カードの攻撃力を3倍、体力を2.5倍にし、緑属性カードにこのカードの「かいふく」×攻撃した属性数×0.2倍の回復,,
オニキスほたるいか,★4,かいふく,紫,,295,1126,494,込み,シート,1.0,,,味方全体にこのカードの「かいふく」 ×2の回復,,,
オパルス,★6,こうげき,紫,,2905,4685,625,込み,シート,1.8,,,3ターンの間、紫属性カードが 「こうげき」×2の追加攻撃をする,攻撃タイプの攻撃力と体力が1.8倍になる,,
オボッチャマン,★6,こうげき,青,,3110,5700,650,込み,シート,3.0,,,相手単体にフィールド上のあおぷよの数×このカードの「こうげき」×5の属性攻撃を与え、フィールドをリセットする,青属性カードの攻撃力を3倍、体力を1.5倍にし、3連鎖以上で1ターンの間、次に青属性カードが受けるダメージを30%カットする,,
オボリン,★4,こうげき,紫,,509,1156,92,込み,シート,1.5,,,相手単体に「5000」の属性ダメージ を与える,味方全体の紫属性の攻撃力が1.5倍になる,,
オボロ,★6,たいりょく,紫,黄,1979,5136,164,なし,シート,3.25,n属性以上の同時攻撃×1.3(LS時のみ),,このスキル発動中、味方全体の攻撃力を1.8倍にし、フィールド上の色ぷよとハートBOXをきいろぷよとむらさきぷよに変える,紫属性カードの攻撃力を2.5倍、体力を3倍にし、2属性以上の同時攻撃で紫属性カードの攻撃力をさらに1.3倍にする,,
オボロ,★7,たいりょく,紫,黄,4121,11631,801,込み,シート,3.5,n属性以上の同時攻撃×1.4(LS時のみ),,このスキル発動中、味方全体の攻撃力を2倍にし、フィールド上の色ぷよとハートBOXをきいろぷよとむらさきぷよに変える,紫属性カードの攻撃力を2.5倍、体力を3.5倍にし、2属性以上の同時攻撃で紫属性カードの攻撃力をさらに1.4倍にする,,
オリオ,★6,こうげき,緑,,1698,3539,307,なし,シート,1.0,,,1ターンの間、ターン終了時にこのカード以外のスキル発動ぷよ数をスタメンの属性数分減らす,ステージ開始時に青属性カードのターン数を 一定の確率で+3する,,
オリオ,★7,こうげき,緑,,4117,7620,856,込み,シート,1.0,,,1ターンの間、ターン終了時にこのカード以外のスキル発動ぷよ数をスタメンの属性数分減らす,緑属性カードとこうげきタイプの体力を2.5倍にし、ステージ開始時に青属性カードのターン数を一定の確率で+4する,,
オルヴォ,★6,たいりょく,紫,,1378,5829,284,なし,シート,1.0,,,相手単体に、このカードの最大体力×12の タフネス貫通属性攻撃,味方全体の黄属性からの被ダメージが0.5倍になる,,
オルヴォ,★7,たいりょく,紫,,3060,12709,863,込み,シート,1.0,,,相手単体に、このカードの「最大体力」×70の タフネス貫通属性攻撃,味方全体が受ける黄属性ダメージを70%カットする,,
オレグ,★6,たいりょく,赤,,1491,4728,343,なし,シート,1.0,,怯え×2,敵単体に「こうげき」×10の属性攻撃を与え、 さらに相手を3ターン「怯え」状態にする,赤属性カードの体力を2倍にし、 さらに体力が低いほど 味方赤属性の回復力アップ (最大3倍),,
オレグ,★7,たいりょく,赤,,3213,10838,943,込み,シート,1.0,,怯え×2,相手単体にこのカードの「こうげき」×15の 属性攻撃を与え、 3ターンの間、「怯え」状態にする,赤属性カードの体力を3.5倍にし、 さらに体力が低いほど 赤属性カードの回復力が上がる(最大3倍),,
オンステージのりんご,★6,バランス,緑,赤,2350,4370,880,なし,シート,4.2,りんごノリノリモード×2,,2ターンの間、味方全体を「りんごノリノリモード」にし、味方ターン終了時にスキル発動ぷよ数を4個減らす さらに2ターンの間、なぞり消し数を8個増やし、同時消し係数を6.5倍にする,味方全体の攻撃力を4.2倍、体力を3.2倍、回復力を2倍にし、通常攻撃時のみあかぷよを4個消すごとにスキル発動ぷよ数を2個減らす さらにクエスト出発時から3ターンの間、味方のターン終了時に味方全体の状態異常を解除し、最大体力の10％を回復する,,
オンステージのりんご,★7,バランス,緑,赤,5158,10055,1888,込み,シート,5.5,りんごノリノリモード×2,,3ターンの間、味方全体を「りんごノリノリモード」にし、味方ターン終了時にスキル発動ぷよ数を4個減らす さらに3ターンの間、なぞり消し数を8個増やし、同時消し係数を7倍にする,味方全体の攻撃力を5.5倍、体力を3.5倍、回復力を2.5倍にし、通常攻撃時のみあかぷよを4個消すごとにスキル発動ぷよ数を3個減らす さらにクエスト出発時から3ターンの間、味方のターン終了時に味方全体の状態異常を解除し、最大体力の15％を回復する,①味方全体の体力を1.3倍にする ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5%アップする (このとくもりスキルは重複可能),
オー,★6,バランス,黄,,1656,3518,741,なし,シート,1.7,,,フィールドの上4段の 色ぷよとハートBOXを、きいろぷよにする,黄属性カードの全能力を1.7倍にする,,
オー,★7,バランス,黄,,4101,8677,1680,込み,シート,2.8,,,フィールドの上4段の 色ぷよとハートBOXを、きいろぷよにする,黄属性カードの全能力を2.8倍にする,,
オークテ,★6,たいりょく,緑,,1323,5344,176,なし,シート,4.0,,,3ターンの間、緑属性カードの通常攻撃 を全体攻撃にする,のこり1体になると攻撃力が4倍になる,,
オークテ,★7,たいりょく,緑,,2986,11885,717,込み,シート,3.5,攻撃エンハ×2.0,,3ターンの間、緑属性カードの攻撃力を2倍にし、緑属性カードの通常攻撃を全体攻撃にする,緑属性カードの攻撃力を3.5倍、体力を2.5倍にする,味方全体の体力を1.5倍にする,
カエデ,★6,こうげき,赤,,1827,3142,277,なし,シート,1.4,与ダメアップ(確率)×3.0(LS時のみ),,ランダム対象に「こうげき」×1の 12連続属性攻撃,赤属性カードが相手に与えるダメージを20%の確率で3倍にする,,
カエデ,★7,こうげき,赤,,4323,7034,819,込み,シート,4.4,与ダメアップ(確率)×5.0(LS時のみ),,ランダム対象にこのカードの「こうげき」×12の15連続属性攻撃,赤属性カードの攻撃力と体力を2倍にし、相手に与えるダメージを30％の確率で5倍にする,,
